屏开 晴日 春风 绿苔	崖悬百尺古|面削一屏开|晴日流丹草|春风长绿苔
著书 终年 好 忘言	每忆宋夫子|终年坐北轩|著书良自苦|得意好忘言
劝酒 杯深 持杯 愿将	劝酒重持杯|杯深喜不辞|愿将今日意|同保百年期
均 风化 灵符 邦家	仁心均动植|风化正邦家|福庆方骈集|灵符尚辟邪
波摇 星 辟易 咫尺	骤来惊辟易|久视益虚无|咫尺星堪摘|波摇又走珠
红妆 江梅 蛾眉 睡足	红妆夸睡足|粉额趁颜开|惟有江梅样|蛾眉淡拂来
屈指 红霞 识 著花	屈指归来日|竹桃正著花|还应识故主|烂漫吐红霞
古稀 他日 姓氏 泉下	年近古稀有|不易升此堂|他日留泉下|须留姓氏香
添 成丝 鬓 颜	滴水添壶箭|跳丸叠崦嵫|只夸颜似玉|不觉鬓成丝
霜毛 吟咏 句 城中	吟咏霜毛句|闲尝雪水茶|城中展眉处|只是有元家
终年 风月 山下 我	山下水一泓|山上云一朵|有尘飞不来|终年风月我
唤 布谷 枝头 邻翁	高田二麦青|低田水初绿|邻翁唤赛神|枝头鸣布谷
天闲 玉塞 飞龙 重	玉塞三千里|天闲十二重|惟应霜骨出|识得是飞龙
入门 还忆 飞鸟 出门	出门复入门|望君还忆君|可怜飞鸟尽|江上又斜曛
岘山 云深 幽谷 古洞	岘山奇境饶|古洞藏幽谷|云深不可寻|但借玄猿宿
登盘 功 多 味	虽无适口味|暖益功稀比|菜苦不登盘|言中多逆耳
孤帆 山云 海日 美人	海日上孤帆|山云交杂树|美人方晓眠|更在林深处
素秋 还照 流年 远客	远客厌征路|流年逢素秋|不知今夜月|还照几人愁
秋风 落叶 昨夜 遥怜	昨夜秋风至|庭前落叶多|遥怜未归客|相见欲如何
世人 论 云根 存	趺坐傍云根|圆空慧性存|法华堆自展|难与世人论
观 游仙 清虚 瑶台	我有游仙梦|如入清虚观|恍见瑶台人|临风共攀玩
扪萝 归鸿 未省 羽毛	扪萝上复上|未省所历高|忽与归鸿值|万里一羽毛
扁舟 句 钓台 郑谷	超绝柳州句|粗疏郑谷诗|扁舟钓台下|曾见雪初时
追 才 怨 猿鹤	不解追时好|尤非治郡才|故山猿鹤怨|应怪未归来
南飞 惊起 肥 栖	两两䳺鹑小|秋田啄粟肥|沙寒栖不定|惊起向南飞
蜂蝶 折花 思量 昨日	昨日折花者|又随蜂蝶来|思量妨底事|红蕊续还开
渔舟 烟波 落日 沽酒	落日下荒墩|渔舟竞来泊|沽酒更相邀|烟波有真乐
桂 岁月 深 道人	一壑亦易得|安得桂林林|道人偶见之|不是岁月深
经年 溪声 山色 客枕	山色醉痕边|溪声客枕前|山溪元自旧|人已别经年
乾坤 岁月 送客 江山	山人偶出村|送客村南道|江山风日佳|岁月乾坤老
西日 终 松径 凉风	曲逐峡田上|遥期松径终|凉风中岭合|西日一尖红
云霄 青松 雨露 殷勤	手拂青松树|新抽数寸条|殷勤将雨露|头上是云霄
秋风 山川 夜月 燕子	夜月乌衣巷|秋风燕子矶|山川仍似昔|只是旧人非
幽人 宿云 凭轩 茶灶	幽人茶灶烟|每与宿云乱|凭轩望所思|春湖渺无岸
